
========================================

    *** Synset Distribution ***

  mutant.n.02  pct_total=1.74|pct_this=1.74|total_hits=12751|this_hits=12751|below_hits=0|total_found=163|this_found=163|below_found=0|total_not_found=65|this_not_found=65|below_not_found=0
  molter.n.01  pct_total=0.46|pct_this=0.46|total_hits=436|this_hits=436|below_hits=0|total_found=43|this_found=43|below_found=0|total_not_found=413|this_not_found=413|below_not_found=0
  migrator.n.02  pct_total=0.16|pct_this=0.16|total_hits=159|this_hits=159|below_hits=0|total_found=15|this_found=15|below_found=0|total_not_found=213|this_not_found=213|below_not_found=0
  metazoan.n.01  pct_total=0.04|pct_this=0.04|total_hits=33|this_hits=33|below_hits=0|total_found=4|this_found=4|below_found=0|total_not_found=224|this_not_found=224|below_not_found=0
  mate.n.03  pct_total=2.10|pct_this=2.10|total_hits=56656|this_hits=56656|below_hits=0|total_found=196|this_found=196|below_found=0|total_not_found=32|this_not_found=32|below_not_found=0
  marine_animal.n.01  pct_total=0.02|pct_this=0.01|total_hits=4|this_hits=3|below_hits=1|total_found=2|this_found=1|below_found=1|total_not_found=1404|this_not_found=947|below_not_found=457
    by-catch.n.01  pct_total=0.01|pct_this=0.01|total_hits=1|this_hits=1|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=457|this_not_found=457|below_not_found=0
  male.n.01  pct_total=7.72|pct_this=2.03|total_hits=94069|this_hits=13719|below_hits=80350|total_found=721|this_found=190|below_found=531|total_not_found=656|this_not_found=38|below_not_found=618
    sire.n.03  pct_total=1.31|pct_this=1.31|total_hits=2409|this_hits=2409|below_hits=0|total_found=122|this_found=122|below_found=0|total_not_found=106|this_not_found=106|below_not_found=0
    male_horse.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
    colt.n.01  pct_total=2.01|pct_this=2.01|total_hits=64063|this_hits=64063|below_hits=0|total_found=188|this_found=188|below_found=0|total_not_found=40|this_not_found=40|below_not_found=0
    bullock.n.02  pct_total=2.37|pct_this=2.37|total_hits=13878|this_hits=13878|below_hits=0|total_found=221|this_found=221|below_found=0|total_not_found=235|this_not_found=235|below_not_found=0
  larva.n.01  pct_total=14.08|pct_this=0.96|total_hits=79538|this_hits=1151|below_hits=78387|total_found=1315|this_found=90|below_found=1225|total_not_found=4658|this_not_found=138|below_not_found=4520
    wireworm.n.01  pct_total=0.04|pct_this=0.04|total_hits=26|this_hits=26|below_hits=0|total_found=4|this_found=4|below_found=0|total_not_found=224|this_not_found=224|below_not_found=0
    wiggler.n.02  pct_total=0.75|pct_this=0.75|total_hits=1109|this_hits=1109|below_hits=0|total_found=70|this_found=70|below_found=0|total_not_found=386|this_not_found=386|below_not_found=0
